_weight,_likelihood,$\Omega_m\ \mathrm{Blinded}$,$w\ \mathrm{Blinded}$
1.00000,13.84835,0.41110,-1.31205
4.00000,14.08721,0.48863,-1.55279
1.00000,12.01658,0.32230,-0.87321
4.00000,12.29388,0.29653,-0.83174
1.00000,12.53980,0.30188,-0.87957
4.00000,13.14917,0.24673,-0.76051
1.00000,13.21934,0.25150,-0.77750
3.00000,12.48406,0.28251,-0.80553
2.00000,12.58159,0.32659,-0.95695
4.00000,11.94741,0.34600,-0.90998
3.00000,11.60581,0.37277,-1.01926
1.00000,11.65418,0.37160,-1.03444
1.00000,11.72700,0.35003,-0.95595
5.00000,11.82803,0.34137,-0.94675
1.00000,11.67744,0.40384,-1.09723
2.00000,11.77892,0.39902,-1.06109
1.00000,12.03178,0.33545,-0.95089
3.00000,12.10436,0.33607,-0.95909
3.00000,11.81201,0.41531,-1.12684
9.00000,11.82188,0.35033,-0.93062
5.00000,11.75689,0.35400,-0.94588
1.00000,11.84327,0.33756,-0.93198
3.00000,13.14314,0.28913,-0.76064
2.00000,14.95890,0.33247,-0.78262
5.00000,11.92133,0.42971,-1.22947
8.00000,12.06052,0.37992,-1.10567
1.00000,12.78691,0.42625,-1.09247
7.00000,13.17990,0.45298,-1.19938
1.00000,12.76574,0.44324,-1.17451
8.00000,11.95516,0.38808,-1.00854
7.00000,12.45040,0.34077,-0.86913
4.00000,12.19273,0.32642,-0.85922
2.00000,12.37549,0.37190,-1.09695
3.00000,12.42733,0.35971,-1.05749
1.00000,15.58312,0.40630,-1.35230
1.00000,13.48177,0.46394,-1.48532
3.00000,12.75011,0.45543,-1.39294
4.00000,13.04144,0.44096,-1.38587
6.00000,13.09102,0.44626,-1.40644
2.00000,12.14591,0.35756,-1.03420
1.00000,11.61763,0.39991,-1.10029
2.00000,11.65071,0.40279,-1.09981
4.00000,11.80655,0.42236,-1.17697
3.00000,11.63594,0.40335,-1.11030
1.00000,12.42038,0.44952,-1.33790
4.00000,12.33018,0.39813,-1.01539
7.00000,12.28838,0.39643,-1.01236
1.00000,11.65944,0.40334,-1.13430
1.00000,11.61666,0.39830,-1.10864
3.00000,12.39568,0.33705,-0.98068
2.00000,11.81692,0.41818,-1.14187
2.00000,11.77320,0.42012,-1.17901
1.00000,11.69491,0.37219,-0.99083
2.00000,11.86156,0.38668,-1.01202
1.00000,11.64190,0.40133,-1.12471
1.00000,12.52357,0.42711,-1.11233
2.00000,12.26759,0.39198,-0.99988
1.00000,12.07034,0.31866,-0.86265
1.00000,13.35228,0.31923,-0.96459
3.00000,13.38268,0.31530,-0.95388
1.00000,12.76708,0.30848,-0.91083
1.00000,11.94731,0.42969,-1.19031
1.00000,11.69946,0.38898,-1.03682
7.00000,11.62061,0.36900,-1.01140
2.00000,11.91377,0.33116,-0.91877
4.00000,14.18336,0.49009,-1.56350
2.00000,14.55282,0.42861,-1.41582
1.00000,12.36530,0.42853,-1.29356
1.00000,13.76590,0.35471,-1.09221
1.00000,13.14858,0.40561,-1.25948
2.00000,13.83244,0.46972,-1.26017
1.00000,12.29739,0.37802,-0.95910
1.00000,13.40342,0.34515,-0.84319
1.00000,12.78440,0.26281,-0.77506
3.00000,12.41894,0.35220,-1.03166
1.00000,13.60714,0.47508,-1.32369
1.00000,12.10494,0.43795,-1.21999
1.00000,13.25941,0.44191,-1.13608
4.00000,12.86680,0.44291,-1.16528
1.00000,11.74253,0.36926,-0.97753
4.00000,11.66043,0.37060,-0.99313
2.00000,12.32909,0.41318,-1.06786
6.00000,13.20346,0.42606,-1.34194
2.00000,13.25801,0.47542,-1.39498
4.00000,11.66466,0.40574,-1.13985
3.00000,11.82042,0.34594,-0.92449
11.00000,12.02412,0.40948,-1.07622
5.00000,13.52863,0.44568,-1.13985
2.00000,13.97630,0.45007,-1.13916
3.00000,14.75474,0.43961,-1.06361
3.00000,15.11731,0.42811,-1.01038
2.00000,12.71422,0.38501,-1.16105
1.00000,11.60082,0.38191,-1.03576
7.00000,12.51365,0.44414,-1.20243
3.00000,15.39207,0.49950,-1.39071
1.00000,14.58518,0.49342,-1.40512
1.00000,14.62655,0.49400,-1.40715
1.00000,12.72551,0.46053,-1.38284
1.00000,12.74812,0.32185,-0.94994
2.00000,12.03500,0.33206,-0.93940
1.00000,11.72686,0.36441,-0.96904
1.00000,12.25265,0.34908,-0.89513
5.00000,14.25749,0.23345,-0.66398
2.00000,13.44209,0.25849,-0.80459
1.00000,13.36083,0.28242,-0.86199
1.00000,12.80575,0.26803,-0.75515
1.00000,11.79831,0.35995,-1.01371
2.00000,11.65525,0.36223,-0.98207
1.00000,11.66616,0.38506,-1.08373
2.00000,11.76302,0.41385,-1.18022
4.00000,12.25000,0.34230,-0.98955
